Date,City,Price
2024-01-01,Pune,1400
2024-01-01,Nashik,1350
2024-01-01,Mumbai,1450
2024-01-01,Nagpur,1300
2024-01-02,Pune,750
2024-01-02,Nashik,720
2024-01-02,Mumbai,780
2024-01-02,Nagpur,700
2024-01-03,Pune,1500
2024-01-03,Nashik,1480
2024-01-03,Mumbai,1520
2024-01-03,Nagpur,1470
2024-01-04,Pune,600
2024-01-04,Nashik,580
2024-01-04,Mumbai,620
2024-01-04,Nagpur,550
2024-01-05,Pune,1350
2024-01-05,Nashik,1320
2024-01-05,Mumbai,1380
2024-01-05,Nagpur,1300
2024-01-06,Pune,520
2024-01-06,Nashik,500
2024-01-06,Mumbai,540
2024-01-06,Nagpur,520
2024-01-07,Pune,1450
2024-01-07,Nashik,1400
2024-01-07,Mumbai,1500
2024-01-07,Nagpur,1380
2024-01-08,Pune,560
2024-01-08,Nashik,540
2024-01-08,Mumbai,580
2024-01-08,Nagpur,520
2024-01-09,Pune,1480
2024-01-09,Nashik,1450
2024-01-09,Mumbai,1520
2024-01-09,Nagpur,1400
2024-01-10,Pune,700
2024-01-10,Nashik,680
2024-01-10,Mumbai,720
2024-01-10,Nagpur,650
2024-01-11,Pune,1500
2024-01-11,Nashik,1480
2024-01-11,Mumbai,1550
2024-01-11,Nagpur,1450
2024-01-12,Pune,540
2024-01-12,Nashik,520
2024-01-12,Mumbai,580
2024-01-12,Nagpur,500
2024-01-13,Pune,1300
2024-01-13,Nashik,1280
2024-01-13,Mumbai,1350
2024-01-13,Nagpur,1250
2024-01-14,Pune,650
2024-01-14,Nashik,620
2024-01-14,Mumbai,670
2024-01-14,Nagpur,600
2024-01-15,Pune,1490
2024-01-15,Nashik,1450
2024-01-15,Mumbai,1530
2024-01-15,Nagpur,1420
2024-01-16,Pune,600
2024-01-16,Nashik,580
2024-01-16,Mumbai,630
2024-01-16,Nagpur,560
2024-01-17,Pune,1380
2024-01-17,Nashik,1350
2024-01-17,Mumbai,1420
2024-01-17,Nagpur,1300
2024-01-18,Pune,550
2024-01-18,Nashik,520
2024-01-18,Mumbai,580
2024-01-18,Nagpur,500
2024-01-19,Pune,1500
2024-01-19,Nashik,1470
2024-01-19,Mumbai,1550
2024-01-19,Nagpur,1450
2024-01-20,Pune,620
2024-01-20,Nashik,590
2024-01-20,Mumbai,640
2024-01-20,Nagpur,600
2024-01-21,Pune,1420
2024-01-21,Nashik,1400
2024-01-21,Mumbai,1470
2024-01-21,Nagpur,1380
2024-01-22,Pune,520
2024-01-22,Nashik,500
2024-01-22,Mumbai,560
2024-01-22,Nagpur,520
2024-01-23,Pune,1480
2024-01-23,Nashik,1450
2024-01-23,Mumbai,1520
2024-01-23,Nagpur,1420
2024-01-24,Pune,700
2024-01-24,Nashik,680
2024-01-24,Mumbai,720
2024-01-24,Nagpur,650
2024-01-25,Pune,1360
2024-01-25,Nashik,1340
2024-01-25,Mumbai,1400
2024-01-25,Nagpur,1300
2024-01-26,Pune,580
2024-01-26,Nashik,550
2024-01-26,Mumbai,600
2024-01-26,Nagpur,560
2024-01-27,Pune,1470
2024-01-27,Nashik,1440
2024-01-27,Mumbai,1510
2024-01-27,Nagpur,1400
2024-01-28,Pune,530
2024-01-28,Nashik,510
2024-01-28,Mumbai,560
2024-01-28,Nagpur,500
2024-01-29,Pune,1500
2024-01-29,Nashik,1480
2024-01-29,Mumbai,1550
2024-01-29,Nagpur,1450
2024-01-30,Pune,640
2024-01-30,Nashik,620
2024-01-30,Mumbai,670
2024-01-30,Nagpur,600
2024-01-31,Pune,1400
2024-01-31,Nashik,1380
2024-01-31,Mumbai,1450
2024-01-31,Nagpur,1360
