Date,City,Price
2024-01-01,Pune,650
2024-01-01,Nashik,630
2024-01-01,Mumbai,680
2024-01-01,Nagpur,600
2024-01-02,Pune,400
2024-01-02,Nashik,420
2024-01-02,Mumbai,450
2024-01-02,Nagpur,380
2024-01-03,Pune,700
2024-01-03,Nashik,690
2024-01-03,Mumbai,710
2024-01-03,Nagpur,680
2024-01-04,Pune,320
2024-01-04,Nashik,340
2024-01-04,Mumbai,360
2024-01-04,Nagpur,310
2024-01-05,Pune,680
2024-01-05,Nashik,660
2024-01-05,Mumbai,700
2024-01-05,Nagpur,650
2024-01-06,Pune,350
2024-01-06,Nashik,330
2024-01-06,Mumbai,370
2024-01-06,Nagpur,300
2024-01-07,Pune,620
2024-01-07,Nashik,600
2024-01-07,Mumbai,650
2024-01-07,Nagpur,580
2024-01-08,Pune,310
2024-01-08,Nashik,330
2024-01-08,Mumbai,360
2024-01-08,Nagpur,300
2024-01-09,Pune,690
2024-01-09,Nashik,670
2024-01-09,Mumbai,715
2024-01-09,Nagpur,660
2024-01-10,Pune,410
2024-01-10,Nashik,390
2024-01-10,Mumbai,430
2024-01-10,Nagpur,370
2024-01-11,Pune,710
2024-01-11,Nashik,690
2024-01-11,Mumbai,730
2024-01-11,Nagpur,700
2024-01-12,Pune,305
2024-01-12,Nashik,320
2024-01-12,Mumbai,340
2024-01-12,Nagpur,300
2024-01-13,Pune,650
2024-01-13,Nashik,630
2024-01-13,Mumbai,675
2024-01-13,Nagpur,620
2024-01-14,Pune,350
2024-01-14,Nashik,330
2024-01-14,Mumbai,370
2024-01-14,Nagpur,320
2024-01-15,Pune,700
2024-01-15,Nashik,690
2024-01-15,Mumbai,720
2024-01-15,Nagpur,680
2024-01-16,Pune,380
2024-01-16,Nashik,360
2024-01-16,Mumbai,400
2024-01-16,Nagpur,350
2024-01-17,Pune,640
2024-01-17,Nashik,620
2024-01-17,Mumbai,660
2024-01-17,Nagpur,610
2024-01-18,Pune,330
2024-01-18,Nashik,350
2024-01-18,Mumbai,370
2024-01-18,Nagpur,320
2024-01-19,Pune,705
2024-01-19,Nashik,685
2024-01-19,Mumbai,730
2024-01-19,Nagpur,690
2024-01-20,Pune,360
2024-01-20,Nashik,340
2024-01-20,Mumbai,380
2024-01-20,Nagpur,330
2024-01-21,Pune,680
2024-01-21,Nashik,660
2024-01-21,Mumbai,700
2024-01-21,Nagpur,650
2024-01-22,Pune,300
2024-01-22,Nashik,320
2024-01-22,Mumbai,350
2024-01-22,Nagpur,300
2024-01-23,Pune,700
2024-01-23,Nashik,690
2024-01-23,Mumbai,720
2024-01-23,Nagpur,680
2024-01-24,Pune,380
2024-01-24,Nashik,360
2024-01-24,Mumbai,390
2024-01-24,Nagpur,350
2024-01-25,Pune,660
2024-01-25,Nashik,640
2024-01-25,Mumbai,680
2024-01-25,Nagpur,630
2024-01-26,Pune,350
2024-01-26,Nashik,330
2024-01-26,Mumbai,370
2024-01-26,Nagpur,310
2024-01-27,Pune,690
2024-01-27,Nashik,670
2024-01-27,Mumbai,710
2024-01-27,Nagpur,660
2024-01-28,Pune,305
2024-01-28,Nashik,320
2024-01-28,Mumbai,340
2024-01-28,Nagpur,300
2024-01-29,Pune,710
2024-01-29,Nashik,690
2024-01-29,Mumbai,730
2024-01-29,Nagpur,700
2024-01-30,Pune,370
2024-01-30,Nashik,350
2024-01-30,Mumbai,390
2024-01-30,Nagpur,340
2024-01-31,Pune,680
2024-01-31,Nashik,660
2024-01-31,Mumbai,705
2024-01-31,Nagpur,650
