Date,City,Price
2024-02-01,Pune,620
2024-02-01,Nashik,600
2024-02-01,Mumbai,650
2024-02-01,Nagpur,580
2024-02-02,Pune,1520
2024-02-02,Nashik,1490
2024-02-02,Mumbai,1580
2024-02-02,Nagpur,1470
2024-02-03,Pune,580
2024-02-03,Nashik,550
2024-02-03,Mumbai,600
2024-02-03,Nagpur,540
2024-02-04,Pune,1400
2024-02-04,Nashik,1380
2024-02-04,Mumbai,1450
2024-02-04,Nagpur,1350
2024-02-05,Pune,520
2024-02-05,Nashik,500
2024-02-05,Mumbai,560
2024-02-05,Nagpur,480
2024-02-06,Pune,1500
2024-02-06,Nashik,1470
2024-02-06,Mumbai,1550
2024-02-06,Nagpur,1450
2024-02-07,Pune,640
2024-02-07,Nashik,620
2024-02-07,Mumbai,680
2024-02-07,Nagpur,610
2024-02-08,Pune,1450
2024-02-08,Nashik,1420
2024-02-08,Mumbai,1500
2024-02-08,Nagpur,1410
2024-02-09,Pune,700
2024-02-09,Nashik,670
2024-02-09,Mumbai,720
2024-02-09,Nagpur,650
2024-02-10,Pune,1480
2024-02-10,Nashik,1450
2024-02-10,Mumbai,1530
2024-02-10,Nagpur,1420
2024-02-11,Pune,560
2024-02-11,Nashik,540
2024-02-11,Mumbai,580
2024-02-11,Nagpur,520
2024-02-12,Pune,1380
2024-02-12,Nashik,1350
2024-02-12,Mumbai,1420
2024-02-12,Nagpur,1320
2024-02-13,Pune,600
2024-02-13,Nashik,580
2024-02-13,Mumbai,630
2024-02-13,Nagpur,560
2024-02-14,Pune,1500
2024-02-14,Nashik,1470
2024-02-14,Mumbai,1550
2024-02-14,Nagpur,1450
2024-02-15,Pune,650
2024-02-15,Nashik,620
2024-02-15,Mumbai,680
2024-02-15,Nagpur,610
2024-02-16,Pune,1400
2024-02-16,Nashik,1380
2024-02-16,Mumbai,1460
2024-02-16,Nagpur,1340
2024-02-17,Pune,550
2024-02-17,Nashik,520
2024-02-17,Mumbai,580
2024-02-17,Nagpur,500
2024-02-18,Pune,1490
2024-02-18,Nashik,1460
2024-02-18,Mumbai,1530
2024-02-18,Nagpur,1420
2024-02-19,Pune,600
2024-02-19,Nashik,580
2024-02-19,Mumbai,630
2024-02-19,Nagpur,560
2024-02-20,Pune,1500
2024-02-20,Nashik,1470
2024-02-20,Mumbai,1550
2024-02-20,Nagpur,1450
2024-02-21,Pune,700
2024-02-21,Nashik,670
2024-02-21,Mumbai,720
2024-02-21,Nagpur,650
2024-02-22,Pune,1450
2024-02-22,Nashik,1420
2024-02-22,Mumbai,1500
2024-02-22,Nagpur,1410
2024-02-23,Pune,580
2024-02-23,Nashik,550
2024-02-23,Mumbai,600
2024-02-23,Nagpur,540
2024-02-24,Pune,1380
2024-02-24,Nashik,1350
2024-02-24,Mumbai,1420
2024-02-24,Nagpur,1300
2024-02-25,Pune,600
2024-02-25,Nashik,580
2024-02-25,Mumbai,630
2024-02-25,Nagpur,560
2024-02-26,Pune,1500
2024-02-26,Nashik,1470
2024-02-26,Mumbai,1550
2024-02-26,Nagpur,1450
2024-02-27,Pune,650
2024-02-27,Nashik,620
2024-02-27,Mumbai,680
2024-02-27,Nagpur,610
2024-02-28,Pune,1400
2024-02-28,Nashik,1370
2024-02-28,Mumbai,1450
2024-02-28,Nagpur,1330
2024-02-29,Pune,600
2024-02-29,Nashik,580
2024-02-29,Mumbai,630
2024-02-29,Nagpur,560
2024-03-01,Pune,1500
2024-03-01,Nashik,1480
2024-03-01,Mumbai,1550
2024-03-01,Nagpur,1450
